Site,Address,Zip,latitude,longitude,Phone,Program Start/End Date,Service Days ,Breakfast Time,Lunch Time
CCPL - Brooklyn Branch,4480 Ridge Road,44144,41.4345624,-81.7353597,,6/15/15 - 8/6/15,M-F,None,11:45AM - 12:15PM
CCPL - Maple Heights Branch,5225 Library Lane,44137,41.4181175,-81.5696564,,6/15/15 - 8/6/15,M-R,None,12:00 noon - 12:30 PM
CCPL - Parma Snow Branch,2121 Snow Rd,44134,41.4041176,-81.6972198,,6/15/15 - 8/6/15,M-R,None,11:30 AM - 12:15 PM
CCPL - Southeast Branch,70 Columbus Road,44146,41.3940181,-81.534436,,6/15/15 - 8/6/15,M-R,None,11:45 AM - 12:30 PM
CCPL - Garfield Heights Branch,5409 Turney Road,44125,41.4154623,-81.6048454,,6/15/15 - 8/6/15,M-R,None,12:00 P.M. - 12:30 P.M.
CCPL - Warrensville Branch,4415 Northfield Road,44128,41.4405765,-81.5263271,,6/15/15 - 3/6/15,M-R,None,12:15 p.m. - 12:45 p.m.
East Cleveland Public Library,14101 Euclid Ave,44101,41.5284576,-81.5846863,,6/8/15 - 8/14/15,M-F,None,1:00 PM - 2:00 PM
Fairhill Partners,12200 Fairhill Road,44105,41.4916992,-81.5976257,,7/7/15 - 7/30/15,T-R,9:00am - 10:00am,12:30pm - 1:30pm
Family for Life Foundation,7115 Woodland Avenue,44104,41.4881596,-81.6391294,,6/8/15 - 8/31/15,M-F,7:00am - 8:30am,11:00am - 12:30pm
First English Lutheran Christian Day School,53 Park Ave West,44902,40.7584457,-82.5184402,,6/15/15 - 7/30/15,M-R,8:30 AM - 9:30 AM,11:15 AM - 12:15 PM
East Cleveland Neighborhood Center - Freedom School,2490 Lee Blvd Suite 322,44118,41.5161514,-81.5698853,,6/15/15 - 7/24/15,M-F,8:00am - 8:45 AM,12:00pm - 1:00pm
Olivet Baptist Church - Freedom School,8712 Quincy Avenue,44106,41.4933752,-81.6259389,,6/15/15 - 7/24/15,M-F,8:00 A M - 8:30 A M,12:00pm - 1:00 P M
Glenville Legacy Center - Camp ROC,7820 Euclid Ave,44103,41.5038103,-81.6342457,,6/15/15 - 7/23/15,M-R,9:00am - 10:00am,12:00pm - 1:00pm
Grace Church,2503 Broadview Road,44109,41.4393768,-81.7020111,,6/8/15 - 8/14/15,M-F,None,11:30 AM - 1:00 PM
